Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,DistanceFromHome,JobSatisfaction,WorkLifeBalance,OverTime,NumCompaniesWorked,TotalWorkingYears,PerformanceRating,Education,MaritalStatus,BusinessTravel,Attrition
47,Research & Development,Laboratory Technician,3401,14,10,14,3,2,No,2,29,4,Bachelor,Married,Travel_Rarely,No
52,Human Resources,Human Resources,3870,18,5,10,3,3,No,2,33,3,Below College,Single,Travel_Rarely,No
38,Sales,Manager,8256,9,6,11,4,4,No,1,17,4,Master,Single,Travel_Frequently,No
40,Human Resources,Human Resources,3651,11,0,10,3,3,Yes,3,22,3,Bachelor,Single,Non-Travel,No
55,Research & Development,Research Scientist,4657,18,11,16,2,3,Yes,2,36,3,Bachelor,Single,Travel_Frequently,Yes
33,Human Resources,Human Resources,3727,7,5,11,3,3,No,3,15,3,Master,Single,Travel_Rarely,No
41,Human Resources,Human Resources,3622,8,8,13,3,3,No,1,21,4,Bachelor,Married,Travel_Rarely,No
25,Sales,Sales Executive,4397,4,1,5,3,4,No,2,6,4,Master,Married,Travel_Rarely,No
46,Sales,Manager,7002,14,9,7,3,4,No,3,26,4,Bachelor,Single,Travel_Rarely,No
27,Research & Development,Laboratory Technician,4169,6,3,1,4,4,No,1,6,3,Bachelor,Married,Travel_Rarely,Yes
22,Human Resources,Manager,7601,0,0,15,2,2,Yes,2,0,3,College,Single,Travel_Frequently,Yes
43,Research & Development,Laboratory Technician,4118,14,9,5,4,3,No,1,25,3,Below College,Married,Travel_Frequently,No
33,Human Resources,Manager,6742,6,2,18,2,2,Yes,3,13,3,Master,Single,Travel_Frequently,No
23,Sales,Sales Executive,4916,5,4,6,4,4,No,2,5,4,Bachelor,Single,Non-Travel,No
56,Sales,Manager,7217,17,10,13,2,3,No,1,38,4,College,Single,Travel_Frequently,No
27,Research & Development,Manufacturing Director,9481,3,1,5,4,3,No,2,8,3,Bachelor,Divorced,Travel_Rarely,No
22,Research & Development,Laboratory Technician,3278,1,0,8,3,3,No,1,3,4,Master,Married,Travel_Rarely,No
26,Research & Development,Research Director,9329,1,1,11,2,3,Yes,4,8,3,Bachelor,Single,Travel_Frequently,Yes
51,Human Resources,Human Resources,4617,15,4,5,4,4,No,1,29,3,College,Married,Travel_Rarely,No
60,Research & Development,Manufacturing Director,8897,24,3,9,3,3,Yes,3,40,3,Bachelor,Single,Travel_Frequently,Yes
31,Human Resources,Human Resources,3859,5,4,12,3,3,No,2,10,3,Bachelor,Married,Travel_Rarely,No
24,Sales,Sales Representative,2816,3,2,10,3,3,No,2,4,4,Master,Married,Travel_Rarely,No
34,Research & Development,Manufacturing Director,6268,5,3,19,2,2,Yes,4,15,3,Master,Single,Travel_Frequently,Yes
46,Human Resources,Manager,7206,10,1,11,2,2,Yes,4,24,3,Doctor,Single,Travel_Frequently,Yes
53,Research & Development,Manufacturing Director,9776,13,8,9,4,4,No,2,31,3,Bachelor,Divorced,Non-Travel,No
41,Research & Development,Manufacturing Director,7600,11,8,13,2,2,Yes,3,21,3,Bachelor,Single,Travel_Frequently,Yes
57,Research & Development,Laboratory Technician,3600,15,8,14,2,3,Yes,3,35,3,Doctor,Divorced,Travel_Frequently,Yes
56,Research & Development,Research Scientist,3413,15,1,15,2,1,Yes,2,34,3,Bachelor,Single,Travel_Frequently,Yes
39,Research & Development,Research Scientist,5652,11,10,12,2,3,Yes,2,20,3,Bachelor,Single,Travel_Rarely,No
33,Research & Development,Research Director,7314,3,3,6,4,4,No,1,11,4,Master,Married,Travel_Rarely,No
53,Sales,Sales Executive,4004,15,9,7,3,4,No,1,33,3,Master,Divorced,Travel_Rarely,No
22,Sales,Sales Executive,4826,2,2,7,3,4,No,1,4,4,Bachelor,Single,Travel_Frequently,No
29,Research & Development,Manufacturing Director,11999,4,0,10,4,4,No,1,7,3,Bachelor,Single,Travel_Rarely,No
59,Research & Development,Research Scientist,6369,17,13,13,3,2,No,2,38,4,Bachelor,Married,Travel_Rarely,No
23,Sales,Manager,7802,3,2,13,3,2,Yes,3,3,3,Master,Single,Travel_Rarely,No
42,Human Resources,Human Resources,3879,11,0,15,3,3,No,3,22,4,Below College,Married,Travel_Rarely,No
32,Human Resources,Human Resources,4718,6,6,2,3,3,No,1,10,3,Bachelor,Single,Travel_Rarely,No
49,Sales,Sales Representative,3302,14,12,11,3,2,Yes,2,31,3,College,Married,Travel_Rarely,Yes
60,Sales,Manager,6910,19,4,4,4,3,No,2,38,3,Master,Married,Travel_Rarely,No
45,Sales,Manager,8864,13,4,9,4,3,No,2,24,4,Bachelor,Married,Travel_Rarely,No
40,Research & Development,Research Scientist,6164,10,6,7,4,4,No,2,21,4,Bachelor,Single,Travel_Rarely,Yes
28,Human Resources,Manager,6570,4,3,10,2,3,No,1,9,4,College,Married,Travel_Rarely,No
57,Research & Development,Research Director,7388,19,11,10,3,3,No,1,39,3,Doctor,Married,Travel_Frequently,No
47,Sales,Sales Executive,5005,15,3,5,3,4,No,1,27,4,Master,Married,Travel_Frequently,No
23,Research & Development,Research Scientist,4756,0,0,14,2,3,Yes,3,2,3,Bachelor,Married,Travel_Frequently,Yes
55,Research & Development,Laboratory Technician,4842,19,8,1,4,4,No,1,36,3,Bachelor,Married,Travel_Frequently,No
52,Research & Development,Manufacturing Director,10015,14,3,7,3,2,No,2,30,3,Below College,Married,Travel_Rarely,No
41,Human Resources,Manager,6822,12,3,10,3,3,No,1,23,3,Master,Married,Travel_Rarely,No
33,Sales,Sales Executive,5436,7,4,8,4,4,No,2,11,4,Master,Divorced,Travel_Rarely,No
52,Sales,Sales Executive,3262,15,7,11,2,2,Yes,3,33,3,Below College,Single,Travel_Frequently,Yes
32,Research & Development,Research Director,8814,6,5,8,4,3,No,1,11,3,Bachelor,Single,Non-Travel,No
24,Sales,Sales Representative,3180,1,0,13,3,3,No,1,4,3,Bachelor,Married,Travel_Rarely,Yes
40,Sales,Sales Representative,2945,10,3,15,3,3,Yes,3,20,3,Below College,Single,Travel_Frequently,No
27,Sales,Sales Representative,2947,4,0,13,2,2,Yes,4,7,3,Master,Single,Travel_Frequently,Yes
59,Research & Development,Research Director,10385,22,8,8,4,4,No,2,40,3,College,Single,Travel_Rarely,No
53,Research & Development,Manufacturing Director,9609,18,4,8,4,4,No,3,35,4,College,Married,Travel_Frequently,Yes
43,Human Resources,Manager,7481,12,5,7,3,3,No,1,23,4,Bachelor,Married,Travel_Frequently,No
42,Sales,Sales Executive,4098,9,6,18,3,2,Yes,3,23,3,Bachelor,Divorced,Travel_Frequently,Yes
58,Sales,Sales Executive,4481,20,9,7,3,3,Yes,2,39,3,College,Married,Travel_Frequently,No
37,Human Resources,Manager,9642,12,6,6,4,4,No,1,17,3,Master,Married,Travel_Rarely,No
38,Human Resources,Human Resources,3603,9,9,25,3,2,Yes,3,16,3,Bachelor,Single,Travel_Frequently,No
56,Research & Development,Laboratory Technician,4094,18,5,3,4,3,No,2,35,4,Bachelor,Single,Travel_Rarely,No
40,Sales,Manager,8558,9,1,7,4,3,No,1,18,3,College,Single,Travel_Rarely,No
23,Human Resources,Manager,8272,0,0,9,4,3,No,2,2,3,Master,Married,Travel_Rarely,No
59,Research & Development,Research Scientist,5646,20,11,10,4,3,No,1,39,4,Bachelor,Divorced,Non-Travel,No
37,Sales,Sales Executive,5606,11,2,9,4,4,No,2,19,3,Bachelor,Single,Travel_Rarely,No
31,Sales,Manager,7396,5,3,12,3,4,No,2,10,3,Doctor,Single,Travel_Rarely,No
56,Sales,Sales Representative,3142,18,1,11,3,3,No,2,34,4,Master,Married,Travel_Rarely,No
40,Human Resources,Human Resources,4502,10,6,12,3,3,No,3,21,3,Bachelor,Single,Travel_Frequently,No
37,Research & Development,Research Director,8548,8,1,10,4,4,No,1,15,4,Bachelor,Married,Travel_Frequently,No
57,Sales,Manager,7815,17,13,15,3,3,No,2,36,3,Master,Married,Travel_Rarely,No
50,Human Resources,Human Resources,4364,16,3,9,3,3,No,2,30,4,Below College,Single,Travel_Rarely,No
26,Human Resources,Human Resources,5148,5,1,4,4,4,No,2,8,3,Bachelor,Married,Travel_Frequently,No
34,Research & Development,Research Scientist,5475,6,3,13,4,3,No,2,13,3,Doctor,Married,Travel_Rarely,No
22,Research & Development,Manufacturing Director,8560,1,1,9,2,2,Yes,2,2,3,Master,Married,Travel_Rarely,Yes
46,Sales,Sales Executive,4397,12,3,7,3,3,Yes,2,25,4,Master,Single,Travel_Rarely,No
55,Research & Development,Research Director,9709,21,6,10,3,3,No,1,33,3,Master,Single,Travel_Frequently,No
49,Human Resources,Manager,8364,15,4,8,4,4,No,1,27,3,Master,Divorced,Travel_Rarely,No
48,Sales,Sales Executive,4637,11,9,15,3,2,Yes,2,27,3,Master,Married,Travel_Frequently,Yes
57,Sales,Sales Executive,4372,18,3,10,3,3,No,1,35,4,Master,Single,Non-Travel,No
22,Research & Development,Manufacturing Director,9992,2,1,6,4,4,No,2,2,4,Bachelor,Married,Travel_Rarely,No
59,Sales,Manager,7650,20,0,8,3,3,No,3,37,3,Bachelor,Married,Travel_Frequently,No
37,Research & Development,Research Scientist,7516,8,6,10,4,4,No,1,16,3,Below College,Married,Travel_Rarely,No
32,Human Resources,Human Resources,4990,8,1,4,4,4,No,1,14,3,Below College,Single,Travel_Frequently,No
42,Human Resources,Manager,8124,13,13,9,3,3,Yes,4,24,3,Master,Single,Non-Travel,No
42,Sales,Sales Executive,4869,9,2,11,3,3,No,4,20,3,Master,Divorced,Non-Travel,No
24,Research & Development,Manufacturing Director,11518,6,5,1,4,4,No,1,6,3,Bachelor,Divorced,Travel_Rarely,No
53,Human Resources,Human Resources,4684,16,7,12,4,4,No,2,33,4,Bachelor,Married,Travel_Rarely,No
26,Research & Development,Research Director,7888,5,1,11,3,3,No,3,7,4,Bachelor,Single,Travel_Rarely,No
41,Human Resources,Manager,8331,10,5,10,4,3,No,1,20,4,College,Divorced,Travel_Rarely,No
32,Human Resources,Human Resources,3784,7,4,1,4,4,No,3,14,3,Below College,Married,Travel_Rarely,No
55,Research & Development,Research Scientist,3484,12,2,16,1,1,Yes,4,34,3,College,Married,Travel_Frequently,Yes
42,Research & Development,Research Director,9208,12,12,1,4,4,No,1,23,3,Master,Married,Travel_Rarely,No
24,Sales,Manager,5834,0,0,13,1,2,Yes,3,4,3,Below College,Single,Travel_Frequently,Yes
39,Sales,Sales Representative,4286,11,2,5,4,4,No,1,17,4,Master,Married,Travel_Rarely,No
37,Sales,Sales Representative,2966,9,7,13,2,4,Yes,2,16,4,College,Single,Travel_Frequently,Yes
24,Human Resources,Manager,7610,4,0,10,3,3,No,2,4,4,College,Married,Travel_Rarely,No
59,Research & Development,Research Director,7852,20,11,18,2,2,Yes,3,40,3,Master,Single,Travel_Frequently,Yes
32,Research & Development,Research Scientist,6258,6,5,8,4,3,No,1,11,3,Bachelor,Divorced,Travel_Rarely,No
39,Human Resources,Manager,7135,9,0,14,3,3,Yes,3,21,3,Bachelor,Single,Travel_Frequently,No
46,Human Resources,Human Resources,4917,15,9,3,4,4,No,1,25,3,Bachelor,Married,Travel_Rarely,No
58,Human Resources,Manager,6813,17,2,13,3,2,Yes,1,39,3,Bachelor,Married,Travel_Frequently,No
59,Sales,Manager,7914,20,8,6,4,4,No,3,39,3,Master,Married,Travel_Rarely,No
60,Sales,Manager,7090,21,9,11,3,4,No,1,39,4,Bachelor,Married,Travel_Rarely,No
35,Sales,Sales Representative,3505,8,6,2,4,4,No,3,13,3,Bachelor,Married,Travel_Frequently,No
32,Human Resources,Human Resources,3800,7,1,11,3,2,Yes,2,14,3,Master,Single,Travel_Frequently,Yes
44,Human Resources,Human Resources,4204,15,2,5,2,3,Yes,2,26,4,Bachelor,Single,Non-Travel,No
28,Human Resources,Human Resources,3098,4,4,10,2,2,Yes,2,6,3,Bachelor,Divorced,Travel_Frequently,No
51,Sales,Manager,5830,14,6,20,1,2,Yes,3,29,3,Bachelor,Married,Travel_Frequently,No
44,Sales,Manager,5066,13,3,14,2,2,Yes,3,25,3,Bachelor,Single,Travel_Frequently,Yes
46,Human Resources,Manager,8064,12,9,6,3,3,No,2,26,3,Master,Married,Travel_Rarely,No
28,Research & Development,Laboratory Technician,4326,5,1,1,4,3,No,2,9,3,Below College,Married,Travel_Frequently,Yes
57,Research & Development,Manufacturing Director,7006,16,2,13,2,2,Yes,3,39,3,Bachelor,Married,Travel_Frequently,No
36,Sales,Sales Representative,3378,9,7,7,3,3,Yes,3,18,3,Bachelor,Single,Travel_Rarely,No
46,Sales,Sales Representative,2892,12,6,9,4,3,No,4,25,3,College,Married,Travel_Rarely,No
37,Research & Development,Research Director,8402,8,7,11,2,4,Yes,1,19,4,Doctor,Married,Travel_Rarely,No
60,Human Resources,Human Resources,4695,18,4,9,3,3,No,2,40,4,Master,Single,Travel_Rarely,No
41,Human Resources,Human Resources,3949,10,7,9,4,3,No,4,19,3,Doctor,Single,Travel_Rarely,No
42,Human Resources,Manager,7464,10,2,9,2,3,Yes,3,21,3,Bachelor,Married,Travel_Rarely,No
35,Research & Development,Laboratory Technician,3613,10,4,3,4,4,No,1,17,4,Master,Single,Travel_Rarely,No
53,Sales,Sales Representative,2775,14,5,18,1,1,Yes,4,31,3,Bachelor,Single,Travel_Frequently,Yes
51,Sales,Sales Representative,3287,16,14,9,4,4,No,1,30,3,College,Single,Non-Travel,No
23,Sales,Sales Representative,2712,2,1,10,2,2,Yes,3,5,3,Bachelor,Single,Travel_Frequently,Yes
56,Research & Development,Research Director,9149,19,3,7,3,3,No,1,37,3,Master,Single,Travel_Rarely,No
26,Sales,Manager,8099,6,3,4,4,4,No,1,6,4,Master,Single,Travel_Rarely,No
45,Human Resources,Human Resources,4837,14,3,1,4,4,No,1,26,3,Bachelor,Divorced,Travel_Rarely,No
60,Human Resources,Human Resources,5137,18,5,1,4,3,No,2,38,3,Bachelor,Single,Non-Travel,No
41,Research & Development,Manufacturing Director,9296,11,1,10,3,3,No,1,23,4,Bachelor,Married,Travel_Rarely,No
28,Human Resources,Human Resources,4045,5,2,12,3,2,No,2,10,4,Bachelor,Married,Travel_Frequently,No
31,Research & Development,Manufacturing Director,7517,8,3,17,2,2,Yes,2,13,3,Bachelor,Single,Travel_Frequently,Yes
28,Research & Development,Manufacturing Director,7296,3,2,8,3,3,Yes,3,9,3,Bachelor,Married,Non-Travel,No
26,Sales,Sales Representative,3713,1,0,9,4,4,No,1,4,4,Bachelor,Married,Non-Travel,No
26,Sales,Sales Representative,2782,3,3,8,3,3,Yes,2,4,3,Bachelor,Married,Travel_Rarely,Yes
